"Sexe","Annee","Mention","Bourse","X36..ChatGPT","X37..DeepL","X38..Copilot","X39..Grammarly","X40..Perplexity","X41..Autre","X42..RP_PN_IA_type_freq_autres","X45..RP_PN_IA_usages","X46..RP_PN_IA_usages_Autre","X47..RP_PN_IA_raisons","X48..RP_PN_IA_raisons_Autre","X53..RP_PN_IALimites","X54..RP_PN_IALimites_Autre"
"F","BUT2","Carrières Sociales","Non boursier","Une à deux fois par semaine","Vous ne la connaissez pas","Vous ne la connaissez pas","Tous les jours ou presque","Vous ne la connaissez pas","Une à deux fois par mois","","Résumer ou reformuler des textes, articles ou cours;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vos enseignants interdisent leur utilisation;Vous craignez d’être accusé de triche",""
"M","BUT2","Informatique","Non boursier","Une à deux fois par semaine","Vous ne l'utilisez pas","Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous préférez faire les choses par vous-même;Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales;Vous êtes préoccupé par les conséquences sociales et économiques;Vous ne voulez/pas ou ne pouvez pas payer les versions premium",""
"F","BUT1","Information - Communication","Boursier","Une à deux fois par semaine","Une à deux fois par mois","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","","Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous êtes préoccupé par les conséquences environnementales;Vous ne voulez/pas ou ne pouvez pas payer les versions premium",""
"F","BUT3","Science des Données","Non boursier","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Une à deux fois par semaine","Grock,deepseek","Concevoir des supports visuels (infographies, schémas, présentations);Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vos enseignants interdisent leur utilisation;Vous craignez pour la confidentialité des données;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez d’être accusé de triche;Vous considérez que c’est une forme de triche",""
"M","BUT1","Génie Mécanique et Productique","Non boursier","Moins d’une fois par mois","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","","Autre","Non","Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous préférez faire les choses par vous-même;Vous craignez de devenir dépendant",""
"M","BUT3","Génie Electrique et Informatique Industrielle","Boursier","Tous les jours ou presque","Une à deux fois par mois","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","Une à deux fois par semaine","","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz;Vous maintenir à niveau car tout le monde l’utilise","","Vous ne voulez/pas ou ne pouvez pas payer les versions premium",""
"M","BUT1","Gestion des Entreprises et des Administrations","Non boursier","Une à deux fois par semaine","Vous ne la connaissez pas","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","","Trouver des explications sur un concept scientifique ou technique","","Gagner du temps","","Vous préférez faire les choses par vous-même;Vous ne voulez/pas ou ne pouvez pas payer les versions premium",""
"M","BUT1","Informatique","Non boursier","Tous les jours ou presque","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","","Résumer ou reformuler des textes, articles ou cours","","Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..","","Vos enseignants interdisent leur utilisation;Vous considérez que c’est une forme de triche",""
"M","BUT1","Informatique","Non boursier","Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Moins d’une fois par mois","","Concevoir des supports visuels (infographies, schémas, présentations);Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Résumer ou reformuler des textes, articles ou cours;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps","","Vous ne savez pas très bien vous en servir;Vos enseignants interdisent leur utilisation;Vous considérez que c’est une forme de triche",""
"M","BUT2","Génie Electrique et Informatique Industrielle","Non boursier","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Une à deux fois par mois","","Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous n’avez pas besoin;Vous craignez de devenir dépendant",""
"M","BUT2","Gestion des Entreprises et des Administrations","Boursier","Tous les jours ou presque","Vous ne la connaissez pas","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz;Vous maintenir à niveau car tout le monde l’utilise","","Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez de devenir dépendant",""
"M","BUT1","Informatique","Boursier","Moins d’une fois par mois","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","","Générer des images ou des vidéos","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous ne voulez/pas ou ne pouvez pas payer les versions premium",""
"M","BUT2","Science des Données","Boursier","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","Une à deux fois par mois","","Résumer ou reformuler des textes, articles ou cours;Préparer ou structurer un exposé, un mémoire ou un rapport","","Autre","Générer des textes","Vous n’avez pas besoin;Vous préférez faire les choses par vous-même;Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales;Vous êtes préoccupé par les conséquences sociales et économiques;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous considérez que c’est une forme de triche;Vous craignez de devenir dépendant",""
"M","BUT2","Science des Données","Boursier","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","","Générer des images ou des vidéos;Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.","","Vous ne voulez/pas ou ne pouvez pas payer les versions premium",""
